# time NacFx NacFy NacFz NacMx NacMy NacMz HubFx HubFy HubFz HubMx HubMy HubMz TwrFx TwrFy TwrFz TwrMx TwrMy TwrMz BldFx BldFy BldFz BldMx BldMy BldMz TotFx TotFy TotFz TotMx TotMy TotMz
53.820000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4266342500e+06 -1.1085000977e+04 1.8437046875e+04 3.0894442385e+07 3.4117211930e+08 1.4324968769e+06 3.1356676147e+04 6.7352932513e+01 -1.9545785446e+03 -5.0091163685e+03 2.0295858528e+06 0.0000000000e+00 5.1058142090e-03 1.2421274185e-05 -4.9420890093e-04 -1.4048714979e-03 7.1005445583e-01 -7.7148226914e-05 2.4579909313e+06 -1.1017648032e+04 1.6482467836e+04 3.0889433267e+07 3.4320170586e+08 1.4324968768e+06
53.830000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4267077500e+06 -1.0879760742e+04 1.8617181641e+04 3.0859598875e+07 3.4121581363e+08 1.3637862954e+06 3.1353812012e+04 6.7552482963e+01 -1.9546538525e+03 -5.0115345137e+03 2.0294268896e+06 0.0000000000e+00 5.1055403137e-03 1.2693567276e-05 -4.9396677971e-04 -1.4428642693e-03 7.1001526307e-01 -7.6817079309e-05 2.4580615671e+06 -1.0812208247e+04 1.6662527294e+04 3.0854587339e+07 3.4324524123e+08 1.3637862953e+06
53.830000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4267077500e+06 -1.0879760742e+04 1.8617181641e+04 3.0859598875e+07 3.4121581363e+08 1.3637862954e+06 3.1353812012e+04 6.7552482963e+01 -1.9546538525e+03 -5.0115345137e+03 2.0294268896e+06 0.0000000000e+00 5.1055403137e-03 1.2693567276e-05 -4.9396677971e-04 -1.4428642693e-03 7.1001526307e-01 -7.6817079309e-05 2.4580615671e+06 -1.0812208247e+04 1.6662527294e+04 3.0854587339e+07 3.4324524123e+08 1.3637862953e+06
53.840000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4269652500e+06 -1.0625041992e+04 1.8835789062e+04 3.0815601064e+07 3.4129759786e+08 1.2792720798e+06 3.1350955292e+04 6.7749836087e+01 -1.9547287712e+03 -5.0137204720e+03 2.0292685303e+06 0.0000000000e+00 5.1052915955e-03 1.3047618866e-05 -4.9365299225e-04 -1.4922592535e-03 7.0997926636e-01 -7.6396384123e-05 2.4583162104e+06 -1.0557292143e+04 1.6881059798e+04 3.0810587342e+07 3.4332686710e+08 1.2792720797e+06
53.840000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4269652500e+06 -1.0625041992e+04 1.8835789062e+04 3.0815601064e+07 3.4129759786e+08 1.2792720798e+06 3.1350955292e+04 6.7749836087e+01 -1.9547287712e+03 -5.0137204720e+03 2.0292685303e+06 0.0000000000e+00 5.1052915955e-03 1.3047618866e-05 -4.9365299225e-04 -1.4922592535e-03 7.0997926636e-01 -7.6396384123e-05 2.4583162104e+06 -1.0557292143e+04 1.6881059798e+04 3.0810587342e+07 3.4332686710e+08 1.2792720797e+06
53.850000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4271282500e+06 -1.0404102539e+04 1.9020546875e+04 3.0777961997e+07 3.4135869375e+08 1.2061275448e+06 3.1348092865e+04 6.7945874333e+01 -1.9548025303e+03 -5.0157481216e+03 2.0291100785e+06 0.0000000000e+00 5.1050334167e-03 1.3340454102e-05 -4.9336130738e-04 -1.5331268785e-03 7.0994211572e-01 -7.6094589264e-05 2.4584763480e+06 -1.0336156651e+04 1.7065743851e+04 3.0772946247e+07 3.4338780454e+08 1.2061275447e+06
53.850000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4271282500e+06 -1.0404102539e+04 1.9020546875e+04 3.0777961997e+07 3.4135869375e+08 1.2061275448e+06 3.1348092865e+04 6.7945874333e+01 -1.9548025303e+03 -5.0157481216e+03 2.0291100785e+06 0.0000000000e+00 5.1050334167e-03 1.3340454102e-05 -4.9336130738e-04 -1.5331268785e-03 7.0994211572e-01 -7.6094589264e-05 2.4584763480e+06 -1.0336156651e+04 1.7065743851e+04 3.0772946247e+07 3.4338780454e+08 1.2061275447e+06
53.860000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4272900000e+06 -1.0178867188e+04 1.9205728516e+04 3.0739316162e+07 3.4141948138e+08 1.1315418477e+06 3.1345233429e+04 6.8141552806e+01 -1.9548756390e+03 -5.0176960191e+03 2.0289519961e+06 0.0000000000e+00 5.1047769165e-03 1.3627624512e-05 -4.9305507302e-04 -1.5732102825e-03 7.0990517857e-01 -7.5828941956e-05 2.4586352385e+06 -1.0110725621e+04 1.7250852384e+04 3.0734298465e+07 3.4344843409e+08 1.1315418476e+06
53.860000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4272900000e+06 -1.0178867188e+04 1.9205728516e+04 3.0739316162e+07 3.4141948138e+08 1.1315418477e+06 3.1345233429e+04 6.8141552806e+01 -1.9548756390e+03 -5.0176960191e+03 2.0289519961e+06 0.0000000000e+00 5.1047769165e-03 1.3627624512e-05 -4.9305507302e-04 -1.5732102825e-03 7.0990517857e-01 -7.5828941956e-05 2.4586352385e+06 -1.0110725621e+04 1.7250852384e+04 3.0734298465e+07 3.4344843409e+08 1.1315418476e+06
53.870000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4269727500e+06 -1.0127308594e+04 1.9259175781e+04 3.0729679875e+07 3.4139041817e+08 1.1114898863e+06 3.1342375122e+04 6.8337815464e+01 -1.9549479618e+03 -5.0196409093e+03 2.0287942284e+06 0.0000000000e+00 5.1044627380e-03 1.3698954582e-05 -4.9291791558e-04 -1.5831989047e-03 7.0986098002e-01 -7.5835862213e-05 2.4583151302e+06 -1.0058970765e+04 1.7304227327e+04 3.0724660232e+07 3.4341921311e+08 1.1114898863e+06
53.870000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4269727500e+06 -1.0127308594e+04 1.9259175781e+04 3.0729679875e+07 3.4139041817e+08 1.1114898863e+06 3.1342375122e+04 6.8337815464e+01 -1.9549479618e+03 -5.0196409093e+03 2.0287942284e+06 0.0000000000e+00 5.1044627380e-03 1.3698954582e-05 -4.9291791558e-04 -1.5831989047e-03 7.0986098002e-01 -7.5835862213e-05 2.4583151302e+06 -1.0058970765e+04 1.7304227327e+04 3.0724660232e+07 3.4341921311e+08 1.1114898863e+06
53.880000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.4268352500e+06 -1.0000628906e+04 1.9361501953e+04 3.0709237072e+07 3.4139009272e+08 1.0703265699e+06 3.1339512177e+04 6.8535530090e+01 -1.9550191402e+03 -5.0216524139e+03 2.0286364196e+06 0.0000000000e+00 5.1041690063e-03 1.3835554123e-05 -4.9272118092e-04 -1.6022904726e-03 7.0981937703e-01 -7.5772890346e-05 2.4581747673e+06 -9.9320933623e+03 1.7406482320e+04 3.0704215418e+07 3.4341872985e+08 1.0703265698e+06
